,PMI Score,Coherence (C_V),Coherence (u_mass),Coherence (c_nmpi),Topic Diversity,# of Topics,IRBO,
AirBnB,-0.10,0.34,-0.63,-0.01,0.47,3,0.21,
TripAdvisor,-2.66,0.53,-2.02,-0.04,0.61,45,0.96,BERT
EasyTour,-1.53,0.31,-4.72,-0.029,0.45,74.9,0.925,
20NewsGroup,-2.80,0.51,-5.06,-0.03,0.78,216,0.99,
TourPedia,-6.59,0.34,-12.35,-0.17,0.71,142.4,0.996,
