,C_uci,Coherence (C_V),Coherence (u_mass),Coherence (c_npmi),Topic Diversity,Number ot topics,IRBO,
AirBnB,-0.40,0.55,-1.85,-0.03,0.65,14,0.91,
TripAdvisor,-0.03,0.45,-1.72,0.03,0.26,16,0.56,
EasyTour,0.06,0.39,-0.79,0.01,0.31,22,0.70,ETM
20NewsGroup,0.19,0.51,-1.91,0.03,0.09,111,0.82,
TourPedia,-0.03,0.49,-1.49,-0.001,0.34,14,0.66,
